band,exp,strehl_ratio,psf,read,sky,dark,rec psf fwhm pix,rec psf fwhm arcsc,rec strehl
r,300,100,total_zernike,1,1,1,,,
r,300,100,total_zernike,1,1,1,,,
r,300,100,total_zernike,1,1,1,,,
r,300,100,total_zernike,1,1,1,,,
r,300,100,total_zernike,1,1,1,,,
r,300,100,total_zernike,1,1,1,,,
r,300,100,total_zernike,1,1,1,,,
r,300,100,total_zernike,1,1,1,,,
r,300,100,total_zernike,1,1,1,,,
r,300,100,total_zernike,1,1,1,,,
r,300,100,total_zernike,1,1,1,,,
r,300,100,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,80,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,60,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,40,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,20,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
r,300,0,total_zernike,1,1,1,,,
